Agent,Fitness,Move
Round:  and 468
10,28.0,0
18,19.0,0
Round:  and 469
10,28.0,0
19,36.0,1
Round:  and 470
10,31.0,0
20,19.0,0
Round:  and 471
10,31.0,0
21,36.0,1
Round:  and 472
10,34.0,0
22,19.0,0
Round:  and 473
10,34.0,0
23,36.0,1
Round:  and 474
10,37.0,0
24,26.0,0
Round:  and 475
10,37.0,0
25,29.0,1
Round:  and 476
10,40.0,0
26,19.0,0
Round:  and 477
10,43.0,0
27,28.0,0
Round:  and 478
10,43.0,0
28,29.0,1
Round:  and 479
10,46.0,0
29,26.0,0
Round:  and 480
10,46.0,0
30,29.0,1
Round:  and 481
10,49.0,0
31,19.0,0
Round:  and 482
10,49.0,0
32,36.0,1
Round:  and 483
10,49.0,0
33,29.0,1
Round:  and 484
10,49.0,0
34,36.0,1
Round:  and 485
10,52.0,0
35,28.0,0
Round:  and 486
10,52.0,0
36,36.0,1
Round:  and 487
10,55.0,0
37,19.0,0
Round:  and 488
10,58.0,0
38,19.0,0
Round:  and 489
10,58.0,0
39,36.0,1
Round:  and 490
10,58.0,0
40,36.0,1
Round:  and 491
10,61.0,0
41,19.0,0
Round:  and 492
10,64.0,0
42,19.0,0
Round:  and 493
10,64.0,0
43,29.0,1
Round:  and 494
10,67.0,0
44,19.0,0
Round:  and 495
10,70.0,0
45,19.0,0
Round:  and 496
10,70.0,0
46,29.0,1
Round:  and 497
10,73.0,0
47,19.0,0
Round:  and 498
10,73.0,0
48,29.0,1
Round:  and 499
10,73.0,0
49,36.0,1
Round:  and 500
10,76.0,0
50,28.0,0
Round:  and 501
11,7.0,0
1,88.0,0
Round:  and 502
11,7.0,0
2,107.0,1
Round:  and 503
11,7.0,0
3,208.0,1
Round:  and 504
11,7.0,0
4,210.0,1
Round:  and 505
11,10.0,0
5,85.0,0
Round:  and 506
11,10.0,0
6,203.0,1
Round:  and 507
11,13.0,0
7,120.0,0
Round:  and 508
11,13.0,0
8,199.0,1
Round:  and 509
11,13.0,0
9,197.0,1
Round:  and 510
11,16.0,0
10,79.0,0
Round:  and 511
11,22.0,0
11,22.0,0
Round:  and 512
11,22.0,0
12,34.0,1
Round:  and 513
11,22.0,0
13,41.0,1
Round:  and 514
11,25.0,0
14,31.0,0
Round:  and 515
11,25.0,0
15,32.0,1
Round:  and 516
11,25.0,0
16,41.0,1
Round:  and 517
11,25.0,0
17,32.0,1
Round:  and 518
11,28.0,0
18,22.0,0
Round:  and 519
11,28.0,0
19,41.0,1
Round:  and 520
11,31.0,0
20,22.0,0
Round:  and 521
11,31.0,0
21,41.0,1
Round:  and 522
11,34.0,0
22,22.0,0
Round:  and 523
11,34.0,0
23,41.0,1
Round:  and 524
11,37.0,0
24,29.0,0
Round:  and 525
11,37.0,0
25,34.0,1
Round:  and 526
11,40.0,0
26,22.0,0
Round:  and 527
11,43.0,0
27,31.0,0
Round:  and 528
11,43.0,0
28,34.0,1
Round:  and 529
11,46.0,0
29,29.0,0
Round:  and 530
11,46.0,0
30,34.0,1
Round:  and 531
11,49.0,0
31,22.0,0
Round:  and 532
11,49.0,0
32,41.0,1
Round:  and 533
11,49.0,0
33,34.0,1
Round:  and 534
11,49.0,0
34,41.0,1
Round:  and 535
11,52.0,0
35,31.0,0
Round:  and 536
11,52.0,0
36,41.0,1
Round:  and 537
11,55.0,0
37,22.0,0
Round:  and 538
11,58.0,0
38,22.0,0
Round:  and 539
11,58.0,0
39,41.0,1
Round:  and 540
11,58.0,0
40,41.0,1
Round:  and 541
11,61.0,0
41,22.0,0
Round:  and 542
11,64.0,0
42,22.0,0
Round:  and 543
11,64.0,0
43,34.0,1
Round:  and 544
11,67.0,0
44,22.0,0
Round:  and 545
11,70.0,0
45,22.0,0
Round:  and 546
11,70.0,0
46,34.0,1
Round:  and 547
11,73.0,0
47,22.0,0
Round:  and 548
11,73.0,0
48,34.0,1
Round:  and 549
11,73.0,0
49,41.0,1
Round:  and 550
11,76.0,0
50,31.0,0
Round:  and 551
12,9.0,1
1,88.0,0
Round:  and 552
12,9.0,0
2,112.0,1
Round:  and 553
12,9.0,0
3,213.0,1
Round:  and 554
12,9.0,0
4,215.0,1
Round:  and 555
12,14.0,1
5,85.0,0
Round:  and 556
12,14.0,0
6,208.0,1
Round:  and 557
12,16.0,1
7,122.0,1
Round:  and 558
12,16.0,0
8,204.0,1
Round:  and 559
12,16.0,0
9,202.0,1
Round:  and 560
12,21.0,1
10,79.0,0
Round:  and 561
12,26.0,1
11,76.0,0
Round:  and 562
12,31.0,0
12,31.0,1
Round:  and 563
12,34.0,0
13,44.0,0
Round:  and 564
12,39.0,1
14,31.0,0
Round:  and 565
12,42.0,0
15,35.0,0
Round:  and 566
12,42.0,0
16,46.0,1
Round:  and 567
12,42.0,0
17,37.0,1
Round:  and 568
12,47.0,1
18,22.0,0
Round:  and 569
12,47.0,0
19,46.0,1
Round:  and 570
12,52.0,1
20,22.0,0
Round:  and 571
12,52.0,0
21,46.0,1
Round:  and 572
12,57.0,1
22,22.0,0
Round:  and 573
12,57.0,0
23,46.0,1
Round:  and 574
12,62.0,1
24,29.0,0
Round:  and 575
12,62.0,0
25,39.0,1
Round:  and 576
12,67.0,1
26,22.0,0
Round:  and 577
12,69.0,1
27,33.0,1
Round:  and 578
12,69.0,0
28,39.0,1
Round:  and 579
12,74.0,1
29,29.0,0
Round:  and 580
12,74.0,0
30,39.0,1
Round:  and 581
12,79.0,1
